occId,term,scientificName
tanager,Chlorochrysa,organism
shrike,Laniidae,organism
taka,Tacca leontopetaloides,organism
crossbill,Loxia,organism
junco,Junco,organism
chickadee,Paridae,organism
canis,Canis,organism
sweetlips,Plectorhinchus,organism
swallows,Hirundinidae,organism
bellwort,Uvularia,organism
periwinkle,Vinca,organism
vireo,Vireo,organism
gorilla,Gorilla,organism
nuthatch,Sitta,organism
bluejay,Cyanocitta cristata,organism
redwing,Pterolobium stellatum,organism
tupelo,Nyssa,organism
redstart,Phoenicurus,organism
turtledove,Streptopelia turtur,organism
dickcissel,Spiza americana,organism
kingbird,Tyrannus,organism
phoebe,Sayornis,organism
tern,Sterna,organism
snapper,Lutjanidae,organism
vertebrate,Vertebrata,organism
dogfish,Centroscyllium,organism
smilax,Smilax officinalis,organism
bobolink,Dolichonyx oryzivorus,organism
manatee,Trichechus,organism
sola,Aeschynomene aspera,organism
blackfish,Globicephala,organism
butterfish,Odax,organism
sawfish,Pristiformes,organism
penguins,Megadyptes,organism
jaguar,Panthera onca onca,organism
sweeper,Pempheris,organism
pollock,Pollachius virens,organism
smiler,Opistognathidae,organism
hydra,Hydra,organism
hellebore,Helleborus,organism
ladybird,Coccinellidae,organism
bobcat,Lynx rufus,organism
buckeye,Junonia,organism
roedeer,Capreolus capreolus,organism
martins,Hirundinidae,organism
shiner,Notropis,organism
kohl,Brassica,organism
shaddock,Citrus maxima,organism
grasses,Poaceae,organism
boneset,Symphytum officinale,organism
cottonmouth,Agkistrodon piscivorus,organism
chiton,Polyplacophora,organism
crabapple,Malus sylvestris,organism
cantaloupe,Cucumis melo,organism
opossum,Didelphimorphia,organism
hawks,Accipitrinae,organism
filbert,Corylus maxima,organism
hooligan,Thaleichthys pacificus,organism
crustacean,Crustacea,organism
auroch,Bos primigenius,organism
wrack,Fucus,organism
rhea,Rheidae,organism
halfmoon,Scorpidinae,organism
greasewood,Sarcobatus,organism
bluebottle,Physalia physalis,organism
fritillary,Fritillaria meleagris,organism
dibbler,Parantechinus apicalis,organism
comfrey,Symphytum,organism
watermint,Mentha aquatica,organism
figwort,Scrophularia nodosa,organism
chub,Squalius cephalus,organism
parsley,Petroselinum crispum,organism
cavalla,Caranx,organism
dromedary,Camelus dromedarius,organism
elkhorn,Euphorbia lactea,organism
arrowroot,Tacca,organism
sharpshooters,Proconiini,organism
ide,Leuciscus idus,organism
rails,Rallidae,organism
buckeyes,Junonia,organism
dewberry,Rubus caesius,organism
pelicans,Pelecanus,organism
nutcracker,Nucifraga,organism
dulse,Palmaria palmata,organism
fuentes,Fuentes Peckham,organism
footballer,Microcanthinae,organism
footballers,Microcanthinae,organism
skullcap,Scutellaria,organism
vanga,Vangidae,organism
spurfowl,Galloperdix,organism
catamount,Puma concolor,organism
mongoose,Herpestidae,organism
ero,Ero,organism
fennel,Foeniculum vulgare,organism
zorilla,Ictonyx striatus,organism
serin,Serinus,organism
onofre,Onofre,organism
megalosaurus,Megalosaurus,organism
dodo,Raphus cucullatus,organism
spinach,Spinacia oleracea,organism
ling,Calluna vulgaris,organism
jackdaws,Coloeus,organism
docks,Rumex,organism
camphor,Cinnamomum,organism
earwig,Dermaptera,organism
coltsfoot,Tussilago farfara,organism
stitchwort,Stellaria,organism
puffin,Fratercula,organism
tomtit,Petroica macrocephala,organism
southernwood,Artemisia abrotanum,organism
sumac,Rhus,organism
celery,Apium,organism
nuda,Nuda,organism
weld,Reseda luteola,organism
grisons,Galictis,organism
herrings,Herklotsichthys,organism
rodent,Rodentia,organism
asp,Aspius aspius,organism
chimpanzee,Pan,organism
frogs,Anura,organism
fauns,Faunis,organism
lemur,Lemuroidea,organism
discus,Symphysodon (Cichlidae),organism
vetch,Anthyllis,organism
seaeagle,Haliaeetus,organism
healall,Prunella vulgaris,organism
marlin,Tetrapturus,organism
runners,Elagatis,organism
carps,Carassius,organism
starlings,Sturnus,organism
pouting,Trisopterus luscus,organism
medlar,Crataegus germanica,organism
canaries,Serinus,organism
mantis,Mantodea,organism
ocelot,Leopardus pardalis,organism
mangel,Beta vulgaris,organism
corncrake,Crex crex,organism
tapeworm,Cestoda,organism
nutmegs,Myristica,organism
nonesuch,Medicago lupulina,organism
islay,Prunus ilicifolia,organism
bogue,Boops boops,organism
balsa,Ochroma pyramidale,organism
variable,Cinnyris venustus,organism
turkeys,Meleagridinae,organism
wintergreen,Pyrola,organism
spearmint,Mentha spicata,organism
melons,Cucurbitaceae,organism
taro,Colocasia esculenta,organism
kauri,Agathis (ICBN),organism
totara,Podocarpus totara,organism
pewee,Contopus,organism
puriri,Vitex lucens,organism
pecan,Carya illinoinensis,organism
whelk,Buccinum,organism
storks,Ciconiiformes,organism
burdock,Arctium,organism
cowbird,Molothrus,organism
beetles,Coleoptera,organism
pansies,Junonia,organism
bivalve,Bivalvia,organism
oysters,Ostreidae,organism
weakfish,Cynoscion,organism
flounder,Pseudorhombus,organism
toadfish,Batrachomoeus,organism
sculpin,Cottus,organism
flagroot,Acorus calamus,organism
alewife,Alosa pseudoharengus,organism
chickweed,Stellaria,organism
gannet,Morus (Sulidae),organism
linnets,Linaria (Animalia),organism
scads,Alepes,organism
mosses,Bryophyta,organism
pigs,Suidae,organism
cistus,Cistus,organism
papaya,Carica papaya,organism
elephants,Proboscidea,organism
lamprey,Ichthyomyzon,organism
nautilus,Nautilus,organism
amphibian,Lissamphibia,organism
franciscana,Pontoporia blainvillei,organism
zona,Bedotia geayi,organism
cachalot,Physeter macrocephalus,organism
dinosaur,Dinosauria,organism
marma,Marma,organism
brooklime,Veronica beccabunga,organism
cinquefoil,Potentilla,organism
